idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,static_collision,nan,inf,0,0.0,0.01
1,dyn_collision,nan,-0.022869183063507104,53,3.743561914915012,1.85
2,timeout,nan,6.161720272064209,300,2.6050502935859066,9.09
3,timeout,nan,5.704060955047607,300,2.7369880614678066,9.09
4,goal,9.956700000000001,5.943646671295165,299,2.7206051686442265,9.06
5,timeout,nan,2.287201322555542,300,3.037457471129795,9.09
6,goal,8.025300000000001,0.2354038052558899,241,3.4585890580138723,7.31
7,timeout,nan,2.7270212688446045,300,2.520412039157624,9.08
8,timeout,nan,2.205356039047241,300,2.8555154973392685,9.09
9,timeout,nan,4.450348945617676,300,3.0185703904057544,9.08
10,static_collision,nan,3.9977942314147947,17,0.9977461169747746,0.55
11,timeout,nan,3.0121218509674073,300,3.070104992898802,9.09
12,goal,4.5621,3.0589815387725827,137,4.391585067376821,4.15
13,static_collision,nan,inf,0,0.0,0.03
14,goal,6.2937,2.1427239818572996,189,3.5433405793306454,5.73
15,goal,4.2957,2.4433555221557617,129,4.532648322078609,3.91
16,goal,4.2624,2.1111914291381835,128,4.547282053572417,3.88
17,goal,4.1958,0.5034585676193237,126,4.685333134000381,3.82
18,timeout,nan,2.97844075012207,300,3.2485015288523087,9.08
19,static_collision,nan,2.224588357925415,189,3.7619710400375346,5.75
20,goal,4.1292,1.7974489574432373,124,4.710779242532989,3.76
21,static_collision,nan,4.7595565948486325,48,2.645148116571363,1.48
22,goal,4.4289000000000005,5.934842842102051,133,4.472963728122693,4.03
23,timeout,nan,3.180778610229492,300,3.1102171129888543,9.09
24,timeout,nan,2.5564498462677,300,2.906191711047043,9.08
25,goal,6.393600000000001,8.581680175781251,192,3.505750287178671,5.82
26,static_collision,nan,inf,0,0.0,0.02
27,timeout,nan,4.661945056915283,300,2.9070045891900858,9.1
28,static_collision,nan,0.9431249904632568,105,4.801642353069925,3.21
29,timeout,nan,2.6839038257598875,300,2.7925180465045076,9.09
30,goal,8.3916,1.4472158927917482,252,2.9817599556778394,7.63
31,timeout,nan,2.3301458625793456,300,2.8530089571792634,9.09
32,goal,9.9234,0.5945456857681275,298,2.6332427744609896,9.03
33,static_collision,nan,inf,0,0.0,0.02
34,goal,8.558100000000001,5.042792949676514,257,3.150996348813379,7.79
35,static_collision,nan,3.4740533943176266,44,3.130799847020006,1.36
36,dyn_collision,nan,-0.05985404109954834,287,2.994468153835947,8.73
37,static_collision,nan,2.8013225479125974,102,4.5466308013956045,3.11
38,static_collision,nan,1.5837003021240235,100,4.761322953533381,3.06
39,timeout,nan,2.4976341896057126,300,2.9165601687692106,9.1
40,timeout,nan,2.100598527908325,300,2.967700153452655,9.08
41,goal,4.329000000000001,8.114715980529786,130,4.6026478324013835,3.94
42,goal,6.393600000000001,4.49630676651001,192,3.503405022342728,5.81
43,timeout,nan,9.968765853881838,300,2.948967049041142,9.09
44,goal,4.495500000000001,2.561608283996582,135,4.346669712352256,4.09
45,static_collision,nan,1.9083335037231446,86,4.303248626136676,2.63
46,timeout,nan,12.372826904296875,300,3.4488391760736703,9.09
47,goal,6.393600000000001,9.014258697509767,192,3.5192053245797674,5.82
48,timeout,nan,0.28571181392669676,300,3.0104878402439255,9.09
49,static_collision,nan,2.3760670356750486,29,1.898709729570767,0.9
50,static_collision,nan,1.5082321853637695,102,4.867298090675225,3.12
51,dyn_collision,nan,-0.031246270179748514,103,4.455311481599123,3.15
52,goal,4.2957,5.1171745033264155,129,4.609942611263588,3.91
53,timeout,nan,0.3196308917999267,300,2.9586680248907458,9.09
54,timeout,nan,2.2381727504730224,300,2.848125778250396,9.09
55,goal,6.759900000000001,2.4259899368286133,203,3.5516371878341135,6.14
56,static_collision,nan,inf,0,0.0,0.02
57,goal,6.5601,4.376361259460449,197,3.531481656061514,5.97
58,timeout,nan,1.8811227931976318,300,3.096999480711917,9.09
59,static_collision,nan,3.880183586120605,6,0.21642306074500084,0.2
60,goal,4.229100000000001,3.888494937896728,127,4.660365604861515,3.85
61,goal,6.5601,11.141212135314943,197,3.678637583914974,5.97
62,timeout,nan,16.474666763305663,300,2.3952651549316943,9.09
63,static_collision,nan,1.229909336090088,238,3.451469006286856,7.23
64,goal,6.859800000000001,5.388309635162353,206,3.5088029681677813,6.24
65,static_collision,nan,4.796995655059814,27,2.0539465098883265,0.84
66,static_collision,nan,inf,0,0.0,0.03
67,timeout,nan,6.935538219451904,300,2.7083559722422312,9.09
68,timeout,nan,0.28016205167770386,300,2.731868725360061,9.09
69,static_collision,nan,inf,0,0.0,0.02
70,goal,4.1625000000000005,2.4729216060638426,125,4.672559047579766,3.79
71,timeout,nan,0.13753304576873776,300,3.0699776888638737,9.09
72,static_collision,nan,1.5881253452301025,23,1.6185258798220234,0.72
73,static_collision,nan,1.181581099510193,79,4.47166395676617,2.42
74,goal,4.6287,4.040943767547607,139,4.4045772267934336,4.21
75,timeout,nan,2.5413802852630614,300,2.876662497225528,9.09
76,timeout,nan,2.342962738037109,300,2.9008691415408006,9.09
77,goal,4.229100000000001,2.906095962524414,127,4.6250147534255674,3.85
78,timeout,nan,5.196829807281494,300,2.6267103591468186,9.09
79,timeout,nan,1.7076329917907715,300,3.2690799119199316,9.09
80,timeout,nan,0.7534891920089721,300,3.38919568356437,9.09
81,goal,6.327000000000001,0.6498366289138793,190,3.8089873336843754,5.76
82,timeout,nan,2.252961233139038,300,3.08136094438533,9.09
83,goal,4.595400000000001,3.475151096343994,138,4.517338318945975,4.18
84,timeout,nan,3.1986762828826905,300,2.6283323623271038,9.09
85,static_collision,nan,2.9529870567321774,124,4.750643588076796,3.78
86,timeout,nan,10.199558883666993,300,3.239139183082928,9.1
87,goal,5.1615,3.2771073417663574,155,4.215068348022478,4.69
88,timeout,nan,7.752143348693847,300,2.904339369498193,9.09
89,static_collision,nan,1.2014833908081055,80,4.473897697194479,2.45
90,timeout,nan,4.640179443359375,300,3.0290270496283966,9.09
91,timeout,nan,3.4639383735656737,300,2.895196908392633,9.09
92,timeout,nan,1.7355762176513672,300,3.0169112397978703,9.09
93,timeout,nan,4.779055881500244,300,3.137239727669706,9.09
94,timeout,nan,1.5468829841613772,300,3.0772413562145084,9.09
95,timeout,nan,4.1147972679138185,300,2.9196996021239707,9.09
96,timeout,nan,0.5066636981964112,300,2.9211612052408356,9.09
97,goal,5.328,1.0335759057998657,160,4.100482701603323,4.85
98,timeout,nan,1.762083679199219,300,3.3507672267624486,9.09
99,goal,4.3623,7.642702758789063,131,4.609389421373662,3.96
